Кластер;1
CORE;-
PERIPH;амбулаторно, больничныи, гематома, горка, диагностировать, заболеваемость, заболевание, заболеть, завязаться, кома, комов, лечиться, лечь, малышка, малышок, мат, неполадка, нехватка, переболеть, переписка, пожизненныи, посоветовать, слово, успокоиться, черта, школьница
Кластер;2
CORE;жертва, жестокий, жестокость, заложник, изнасиловать, нападать, насильственный, подозрение, свидетель, террорист, убивать, убийство, убить
PERIPH;агрессивно, агрессивный, агрессия, атаковать, беспомощный, бить, винить, возмещение, вред, жесткий, жестко, захватить, захватывать, защитник, злоупотребление, злоупотреблять, извинение, испугаться, молодежный, напиться, напугать, наручник, насилие, опасаться, оскорбление, офицер, охранник, патруль, патрульный, педофил, племянник, поссориться, пострадать, предупреждение, пригрозить, признать, признаться, прятать, прятаться, пугать, разбитый, расследовать, самец, секретный, скандал, скрывать, скрыть, спорить, спрятать, сумасшедший, схватить, таинственный, убитый, угрожать, шутка
Кластер;3
CORE;отбор, футбол, чемпионка
PERIPH;абсолютно, батут, воити, выиграть, выигрывать, драка, завоевать, заканчивать, застолье, игрок, италия, кмч, команда, командный, котлован, кубок, морской, олимпиада, победа, победитель, победительница, победить, победный, побеждать, побои, совершенно, состязание, турнир, турнирный, турция, футбольный, чемпион, чемпионат, шемякин, южноморавский
Кластер;4
CORE;взрыв, взрывоопасныи, выгореть, гореть, дымоход, задымление, зажечь, зажигание, закрываться, застроищик, кондиционер, огненныи, огнетушитель, огонь, осадки, поджечь, поджигатель, противопожарныи, разрушение, раскопка, сгореть, сжечь, сигнализация, улететь, факелоносец, эвакуировать, электрик
