Кластер;1
CORE;выкупить, покупатель, купить, приобрести, приобретать, покупать, продавец, достоиныи, подарочныи, покупка, подарок, относиться, товар, продавать, заказывать, доставка, заказать, напоминать.
PERIPH;подделка, давать, оценить, получить, получать, вместо, оказаться, выполнять, магазин, справляться, дарить, свободно, уверить, делать, оправдать, взять, заявить, возврат, позволять, приемлемыи, перезаказать, приехать, указать, думать, принять, приходиться, просить, собирать, скидка, принимать, вместительныи, прислать, дело, узнать, повестись, общии, появиться, сделать, вызывать, тот, пара, находиться, нарекание, напитать, иметься, питать, отверстие, значит, вонять, приходить, быть, обманывать, всякии, становиться, гантель, также, около, брать, дополнительныи, стать, внимание, лишнии, посоветовать, рада, главное, поставщик, наконецтыи, гораздо, ответить, целость, случиться, отправлять, некоторыи, бывать, случаино, обычно, надпись, каждыи, наличие, понять, вообщии, добавлять, благодарность, почитать, отклонить, сначала, свои, занятие, оставлять, дополнительно, иметь, выбросить, благодарить, этот, присылать, игра, включение, выполнить.
Кластер;2
CORE;термокружка, заводскии, блеск, светиться, липкость, плотно, помыть, протекать.
PERIPH;сушить, поверхность, плита, светить, чувствительныи, дозатор, нанесение, подсветка, фонарик, пластиковыи, стекло, сухои, липкии, визуально, грязныи, настроика, пластик, светильник, рисунок, хлипкии, фото, изготовление, лампа, пластика, материал, первыи, померить, пениться, закрываться, стенка, качественныи, мокрыи, основа, полтора, синтетик, порвать, деталь, образ, спокоино, нитка, внешнии, ресница, термос, щеточка, цвет, тонкии, пол, металл, образоваться, готовыи, пенка, циферблат.
Кластер;3
CORE;переключатель, наушник, зарядка, подключить, подключиться, зарядиться, батареика, аккумулятор, зарядить, батарея, зарядныи, шумоподавление, громкость, кабель, провод, адаптер, мощность, звонок, телефон, отключаться, вызвать, звук, звучание, громко, вовремя, аифон, связь, ухо.
PERIPH;быстро, задержка, громкии, минута, скорость, час, тормоз, чат, смартфон, часы, слушать, часами, радио, заряд, время.
Кластер;4
CORE;платье, куртка, красивыи, пошить, шов, пальто, уютныи, красота, футболка.
PERIPH;сумка, ткань, прекрасныи, джинсы, шея.
Кластер;5
CORE;волос, лицо, мыло, нос.
PERIPH;царапина, глаз, пупырка.
Кластер;6
CORE;вкусно, напиток, шоколадныи, орех, впитывать, шоколад, свежии, удовольствие, кофе, пить, ароматныи, молочныи, молоко, мед, еда, звучать, жирныи, чувствовать.
PERIPH;чаи, дорогои, горячии, натуральныи, коктеиль, ощущение, чувство, слышныи, замечательныи, мои, радость, тушь, нормально, прекрасно, слышать, тоненькии, какао, отлично, питание, довольныи, сахар, розовыи, чувствоваться, счастливыи, жарко, чудесныи, болеть, настроение, мех, вау.
Кластер;7
CORE;обувь, стопа, колесо, кататься, скользить, ходить, ходьба, фитнес, гулять, сесть, нога.
PERIPH;снизу, рука, ездить, шлеиф, короткии, жесткии, садиться, неудобныи, верх, сидение, минимум, снижать, длинныи, прогулка, комплектация, долгии, трудно, прямои, угол, течение, ниже, ширина, неудобно, подключение, пропасть, выпадать, заднии, сидеть, максимально, быстрыи, дно, пояс, смело, длина, верхнии, короче, внизу, строчка, нижнии, упасть, подъем, обратить, спина, лежать, стоять.
Кластер;-
MULTI (20);шампунь,вкусныи,аромат,одевать,одежда,вкус,свитер,стильно,носить,сладкии,стильныи,каблук,пахнуть,кроссовок,увлажнить,застежка,упаковывать,промывать,шнурок,подкладка
UNASSIGNED (20);еще,лично,получение,иначе,выходить,выбрать,запас,весь,этикетка,соответствие,возможность,большои,оформить,хватать,безумно,хотеть,решить,просто,фирма,след
NOISE (20);руль,пупырчатыи,аккуратныи,инструкция,детскии,разница,рабочии,предыдущии,серыи,терять,бог,уход,процесс,сеть,ошибка,данныи,менять,вести,аллергия,пустои
