Кластер;1
Top50;мэрия,облздрава,окрестныи,окрестность,облпрокуратура,городскои,городсад,поличное,ульян,новгород,град,бомбоубежище,минпромторг,областиинцидент,ситипарк,облздравыи,городок,концлагерь,пригород,площадь,новосибирск,коммунальщик,проспект,городать,выселок,устанавливать,облдума,туловище,устанавливаться,стамбул,участок,землянск,раздевалка,зоновыи,обстановка,заведовать,небольсина,раскрываться,город,опровергнуть,располагаться,раицентр,надгробие,кадастровыи,усадьба,наметить,анонс,огласить,сдвинуть,остужево
Кластер;2
Top50;комиссаржевскии,большевик,депутатскии,постановление,депутат,авторитетныи,вицегубернатор,зампредседателя,заявитель,чиновник,таможенник,правообладатель,комиссар,заповедник,управленец,продиктовать,замначальник,замдиректора,представитель,декретныи,полномочие,слесарь,политик,сталинград,комиссариат,узаконить,проректор,генпрокурор,заявительница,полис,правопорядок,сталинскии,постановить,присудить,назначаться,уполномоченныи,вицепремьер,авторитет,губернаторскии,удостоверять,вождь,сталин,регулятор,антироссиискии,заместитель,руководитель,прокуратурыпо,спорныи,кремль,назначать
Кластер;3
Top50;чаиковскии,проведение,калининград,вокалистка,торжество,циолковскии,плехановскии,джульетта,вологодскии,фестивальныи,дизаинерскии,песенныи,маяковскии,рокнролл,продюсерскии,кинорежиссер,художница,романовскии,музеезаповедник,режиссерскии,премьерлига,мероприятие,спектакль,хоперскии,святослав,забаикальскии,дворянскии,сочинскии,фестиваль,купол,вокалист,мандельштам,ярославскии,исполком,выступить,выступление,любительскии,мюзикл,мурманск,брянскии,мелодичныи,постановка,роковои,новохоперск,драмтеатр,верхнемамонскии,мануковскии,ленинград,екатеринбург,театрализовать
Кластер;4
Top50;росприроднадзор,воронежскиф,водоканал,веловоронеж,ярославль,загородныи,воронежецть,собутыльник,журавлевка,чухновыи,воронежстат,природоохранныи,воронежпо,пригородныи,гришковец,щелкунчик,верблюд,зоозащитница,воронежть,городище,кузнецов,чугунныи,голубеть,беглянка,тропинка,ростелеком,белгородец,существенныи,насаждение,горожанка,облучатель,зарубежье,краеведческии,козырек,розыгрыш,козловскии,воронежев,судорога,бурятия,колиуха,воронежскии,приусадебныи,гримерка,саратовец,легковушка,наземныи,местность,смочь,цокольныи,выгребнои
Кластер;5
Top50;нарушитель,диспетчерская,востребовать,злоумышленник,извращенец,разбоиник,повздорить,заподозрить,нарушаться,злоумышленница,расторгуев,обрушиться,нарушать,злополучныи,мвдтрагедия,убиица,виновник,ограбить,попрежнии,завалить,подорвать,протаранить,отомстить,задержание,избиение,разборка,проступок,происшествияпо,обидчик,разгромить,прорубь,обезболивать,испортить,хитпарад,ворваться,подавлять,аварииныи,нововоронеж,обозреватель,бродячии,причинить,разгромныи,выбивать,подоконник,очевидцыпо,опрокидывание,похититель,обидно,инцидент,потерпевшии
Кластер;6
Top50;хабаровск,хабаровскии,санкционныи,взяточничество,неплательщик,начисление,хабар,госконтракт,валютныи,бюджетник,тратиться,потратить,расплачиваться,денежныи,раскупить,зависеть,должница,внебюджетныи,оплатить,доплата,предоплата,выплачиваться,оштрафовать,выплатить,налог,заработать,тратить,накопительныи,расплатиться,погашение,тщательныи,выплачивать,финансировать,недорогои,издержка,доллар,закупочныи,выплата,гонорар,уплатить,ценник,взятка,платежка,приход,заплатить,рассчитываться,оплачивать,госзакупка,неоплаченныи,доходность
Кластер;7
Top50;столичныи,муниципалитет,общественник,публицист,госпрограмма,община,государственныи,ведомствапыи,госорган,коммунальныи,муниципальныи,общественныи,замминистра,митрополит,комитетапо,ведомственныи,нацпроект,градоначальник,кафедра,госдума,организатор,областидтп,учреждение,замруководитель,локальныи,росгвардия,заказник,коминтерновскии,осуществлять,сопутствовать,управа,областина,центральныи,контора,горожанин,оргкомитет,сообщаться,республика,ведомство,осуществляться,госуниверситет,концерн,иногороднии,область,провинциальныи,декларация,областив,резидент,гарнизонныи,областнои
Кластер;8
Top50;григорашенко,александрович,росводоканал,первоклассник,яковлевич,нижегородскии,магнитогорск,владикавказ,третьяковскии,владимир,владимирскии,москвичка,росгвардеец,москвич,константинович,загранпаспорт,коммунар,станислав,владивосток,россиинапомнить,волгоград,заочно,дмитриевич,александров,кинофильм,ростехнадзор,единоросс,кпрф,яковлев,достоевскии,горшков,коика,виталиевич,алексеевич,ростовчанин,ктонибыть,риодежанеиро,полет,новороссииск,комсомольскии,захотеть,евгениевич,гордеев,балашов,ревенко,вогрэсовскии,петрович,роллер,станкевич,формально
Кластер;9
Top50;росздравнадзор,роспотребнадзор,сообщить,минздрав,межсезонье,уведомить,известие,оповещение,предсезонныи,констатировать,посредством,уточнять,респондент,общеопасныи,вышеуказанныи,обращаться,онкодиспансер,репортаж,исправительныи,дошкольныи,вследствие,досрочныи,невыплата,тревога,текущии,разъяснение,следование,отчетныи,прививочныи,неоднократныи,предупредить,подтвердиться,обстоятельство,выдержка,временнои,предварительныи,подтверждаться,чп,нецензурныи,предусмотреть,вести,сирена,внимательныи,веста,безопасно,подтвердить,противодеиствие,дата,предварительно,комов
Кластер;10
Top50;футболист,владислав,росимущество,всероссиискии,калачеевскии,харьковскии,подмосковье,владимирович,зинченко,калининградскии,русскоязычныи,россиипо,сильченко,общероссиискии,матч,валентинович,ростовскии,воробьевскии,олимпик,алексеевскии,волгоградскии,кавказскии,россиискии,кантемировскии,турнир,отбор,кировскии,чемпионат,кемеровскии,кончаловскии,россошанскии,россия,russia,ростропович,михаиловскии,турнирныи,савченко,калашников,подмосковныи,бастрыкин,ломовскии,спартакиада,ищенко,спорт,кавказ,станиславскии,олимпиада,россиянка,киевскии,борисов
