Кластер;1
Top50;изученность,педагогическии,внеурочныи,воспитательныи,изучить,концептуальныи,познавательныи,учеба,воспитание,образовательныи,педагогика,изучение,самообразование,субъективныи,учебныи,рецепция,социолог,учесть,новообразование,обучаться,субъектность,тематика,объективность,изучать,естествознание,учиться,социологическии,разбирательство,разработанность,исследование,академическии,мыслительныи,концепт,концепция,учение,понимание,систематизация,обучать,изучаться,педагог,урок,языкознание,тема,освоить,экспертиза,воспитанник,дискурсивныи,преподавание,своеобразие,диссертационныи.
Кластер;2
Top50;патологическии,биомедицинскии,диагностическии,клинически,патология,диагностик,клиническии,физиология,эпидемиология,заболевание,заболеваемость,лаборатория,феноменология,физиологическии,преэклампсия,болезнь,врачебныи,эритроцит,оздоровительныи,медицина,лекарство,диагностика,злокачественныи,диагностировать,терапевтическии,медицинскии,сывороточныи,биологическии,дошкольныи,кровеносныи,общенаучныи,биопсия,нозологическии,онтологическии,диагноз,лабораторныи,пациент,леикоцит,воспалительныи,биологически,биология,препарат,эндоваскулярныи,лекарственныи,реанимация,малоинвазивныи,специалист,неврологическии,медикаментозныи,наукоемкии.
Кластер;3
Top50;эксперимент,синергетическии,методология,аналитическии,техническии,наука,научно,анализ,физика,машиностроение,механизм,техника,методика,диэлектрическии,термообработка,инженерия,наукоемкии,растворимость,теоретическии,вычислительныи,технологическии,методическии,ученыи,химия,теория,жизнестоикость,анализироваться,теплофизическии,механика,адсорбция,процессуальныи,анализировать,конструкция,синтез,компонентныи,адсорбционныи,цилиндрическии,износостоикость,концепт,анализатор,твердофазныи,теоретик,общенаучныи,фундаментальныи,конструирование,прототип,механическии,принцип,теоретически,химическии.
Кластер;4
Top50;общероссиискии,россиискии,московскии,большевик,россия,русскоязычныи,постсоветскии,россиянин,советскии,всероссиискии,русскии,кавказскии,сибирскии,волгоградскии,политология,калининградскии,москва,идеологическии,кавказ,ленинградскии,казанскии,геополитическии,публицистика,славянскии,идеология,древнерусскии,азербаиджанскии,киевскии,крымскии,государственныи,ростовскии,социологическии,антикризисныи,систематизация,санкционныи,казахстанскии,челябинскии,татарстан,казахскии,азербаиджан,казахстан,противоправныи,украина,владимир,новгородскии,национальныи,полемика,властныи,татарскии,модернизация.
Кластер;5
Top50;древнерусскии,гистологическии,литологическии,таксономическии,прогностическии,филологическии,ревматическии,всероссиискии,аксиологическии,типологическии,дворянскии,калининградскии,сочинение,мифологическии,цитологическии,этимология,историзм,морфологическии,мифология,композиционныи,кавказскии,описательныи,среднесуточныи,русскоязычныи,онтологическии,этиологическии,общероссиискии,культурология,топологическии,неологизм,онтология,забаикальскии,понятииныи,эвристическии,жанровыи,естествознание,семантическии,царскии,историография,реологическии,сеисмическии,мурманскии,вологодскии,казачии,владимир,античность,свердловскии,эндотелиальныи,ипотечныи,ретроспективныи.
Кластер;6
Top50;модернизация,урбанизация,стратегическии,социологическии,развивающиися,социолог,разведение,инновационныи,межрегиональныи,компаративныи,инновация,отрасль,сектор,экономичность,первостепенныи,новаторскии,экономичныи,геополитическии,систематизация,экономика,критериальныи,проект,глобальныи,концепция,отраслевои,индустрия,ценопопуляция,концепт,локализовать,межнациональныи,разработанность,анализироваться,пригодность,агротехническии,региональныи,экономическии,анализ,развитие,инициатива,децентрализация,управляемость,промышленныи,социология,продвижение,обстановка,новшество,анализировать,новация,промышленность,общепринятыи.
Кластер;7
Top50;методология,эффективность,управляемость,анализироваться,стратегическии,бизнеспроцесс,критериальныи,анализ,анализировать,анализатор,организационныи,отрасль,индустрия,пригодность,аналитик,стратегия,бизнесмодель,промышленность,концепт,swotанализ,разработанность,промышленныи,компаративныи,регуляторныи,ведение,систематизация,управленческии,инновационныи,первостепенныи,методика,концепция,методическии,техническии,аналитическии,полезность,эксплуатация,подход,рецепция,менеджмент,экспертиза,объективно,оптимизировать,применимыи,регулятивныи,имплементация,инновация,адекватность,критерии,новаторскии,отчетность.
Кластер;8
Top50;агрохимическии,гетерогенныи,биологическии,агротехническии,урожаиность,биологически,экосистема,биотехнология,вегетация,биология,ботаническии,растительныи,чистопородныи,экология,растительность,биоразнообразие,природныи,биоптат,феноменология,культивирование,наукоемкии,патогенез,микрофлора,растение,почвенныи,растениеводство,биохимическии,экологически,наука,размножение,биомаркер,природоохранныи,вегетационныи,общенаучныи,водорастворимыи,посевная,травостои,врожденныи,научно,экологическии,натуральныи,биопленка,научныи,удобрение,местообитание,лаборатория,микроорганизм,фауна,рекультивация,эволюционныи.
Кластер;9
Top50;методология,алгоритмическии,анализатор,процессуальныи,вычислительныи,аналитическии,методика,алгоритм,моделирующии,моделироваться,моделирование,анализ,моделировать,методическии,оптимизационныи,метод,подход,анализироваться,модель,вычисление,параметрическии,анализировать,тестсистема,техническии,детерминировать,эксперимент,автоматическии,имплементация,автоматизация,исчисление,спроектировать,логистическии,детерминация,техника,оптимизировать,оптимизация,теоретик,оптимальность,адаптивныи,теоретическии,критериальныи,машиностроение,концепт,модульныи,копингстратегия,механизм,прототип,swotанализ,искусственныи,проектировать.
Кластер;10
Top50;правоприменение,нормативныи,регулятивныи,правопорядок,правомерность,регуляторныи,правотворчество,дисциплинарныи,санкционныи,регуляция,законодательныи,правотворческии,юриспруденция,закон,юридическии,правоведение,управляемость,регулирование,правонарушение,регламентация,регулировать,легальныи,законодательно,авторитетныи,регламент,властныи,отчетность,законность,правоотношение,правосознание,ведомственныи,критериальныи,легализация,юрисдикция,обязанность,легочныи,ответственныи,авторитет,ведение,легитимность,норматив,субъектныи,соблюдение,постановление,обязательныи,государственныи,объективность,законныи,прокуратура,кривизна.
