Кластер;1
Top50;александрович,нижегородскии,яковлевич,коммунар,загранпаспорт,кпрф,полет,дмитриевич,владимир,москвич,волгоград,медперсонал,третьяковскии,станислав,суметь,футболист,коммуналка,москвичка,заведомо,горшков,чтонибыть,яковлев,владимирскии,болеть,коика,вничью,росреестр,гибддпо,захотеть,калининградскии,роспотребнадзор,провести,минздрав,дебютировать,вогрэсовскии,владислав,воиско,комсомольскии,облпрокуратура,формально,фильм,владивосток,сообщить,востребовать,транслироваться,телеграмканал,изложить,александров,согласныи,младшии.
Кластер;2
Top50;злоумышленник,нарушитель,криминальныи,преступник,злоумышленница,заподозрить,подоконник,задержание,грабитель,извращенец,похититель,преступныи,уголовныи,виновник,нововоронеж,вымогательство,убиица,наказать,преследовать,александрович,востребовать,преступление,роспотребнадзор,подозрительныи,правонарушение,коммунар,вор,разгромить,полиция,попрежнии,отомстить,общественник,предъявление,мвдинцидент,ограбить,отсудить,задекларировать,нижегородскии,нововоронежскии,казна,обидчик,очевидец,штрафнои,злополучныи,нарушать,пожалуиста,загранпаспорт,яковлевич,осудить,нетрезвыи.
Кластер;3
Top50;александрович,нижегородскии,яковлевич,третьяковскии,владислав,футболист,москвичка,владимир,владимирскии,калининградскии,владивосток,александров,харьковскии,станислав,владимирович,подмосковье,москвич,всероссиискии,калачеевскии,загранпаспорт,сильченко,общероссиискии,дмитриевич,алексеевич,воробьевскии,волгоградскии,волгоград,кпрф,яковлев,кантемировскии,горшков,станиславскии,черняховскии,сергеевич,россиискии,петрович,коммунар,россошанскии,полет,вогрэсовскии,коика,таловскии,ростовскии,ростропович,комсомольскии,калининград,калужскии,москва,русфонд,савченко.
Кластер;4
Top50;областиинцидент,востребовать,экстренно,облпрокуратура,разборка,мэрия,возгорание,облздрава,столичныи,огнетушитель,обрушиться,окрестность,противопожарныи,раздевалка,катастрофа,погоново,взорвать,оповещение,поджигатель,сообщить,взрывоопасныи,заведомо,коммуналка,отыграть,погоня,коммунар,непогода,испортить,завалить,ток,вспыхнуть,пригород,волгоград,ограждение,полет,поличное,городскои,бедствие,загореться,вырубка,ворошилов,москвич,взорваться,опровергнуть,городсад,коммунальщик,избиение,тревога,вызывать,угнать.
Кластер;5
Top50;хабаровск,неплательщик,роспотребнадзор,загранпаспорт,нарушитель,хабаровскии,криминальныи,александрович,злоумышленник,подоконник,преступник,задекларировать,задержание,мошенник,нижегородскии,госзакупка,штрафнои,оштрафовать,яковлевич,общественник,злоумышленница,казна,уголовныи,третьяковскии,мошенница,комиссаржевскии,владимирскии,заподозрить,неправомерныи,наказать,заявитель,взыскание,пожалуиста,штрафовать,преступныи,таможня,правонарушение,вымогательство,владислав,похититель,предать,лишение,грабитель,прокурорскии,отомстить,владимир,дмитриевич,постановление,коммунар,подмосковье.
Кластер;6
Top50;аварииныи,автомобилистка,дорожник,авария,угонщик,автомобилист,внедорожник,зампред,областиинцидент,тротуар,происшествие,инцидент,дорожка,улица,автомобильныи,водительскии,обрушиться,катастрофа,дорожныи,нарушитель,парковочныи,автолюбитель,водитель,нарушать,востребовать,злополучныи,автодорога,путевка,полет,дорога,заводить,проспект,объехать,автотранспорт,подвижныи,александрович,гибддпо,трасса,коммунар,авто,поличное,автомобиль,пешеход,извращенец,непогода,завалить,попрежнии,припарковать,нижегородскии,экстренно.
Кластер;7
Top50;третьяковскии,волгоград,александрович,москвичка,чаиковскии,москвич,яковлевич,нижегородскии,проведение,владимир,вокалистка,торжество,владивосток,станислав,фестивальныи,калининградскии,театрализовать,драмтеатр,циолковскии,спектакль,калининград,владимирскии,александров,харьковскии,коммунар,постановка,облздрава,владислав,гордеев,плехановскии,кантемировскии,фестиваль,мероприятие,комсомольскии,футболист,художница,вогрэсовскии,всероссиискии,воробьевскии,песенныи,выступление,александр,облпрокуратура,яковлев,исполнительскии,премьерлига,коика,вокалист,маяковскии,подмосковье.
Кластер;8
Top50;развестись,владимирскии,подмосковье,общероссиискии,подмосковныи,россиискии,владислав,россиянка,москвичка,всероссиискии,московскии,россошанскии,калачеевскии,россиянин,россия,владивосток,владимирович,яковлевич,комиссаржевскии,калининградскии,харьковскии,владимир,александров,калашников,советскии,третьяковскии,александрович,русыи,нижегородскии,москвич,волгоградскии,сильченко,воробьевскии,савченко,кремлевскии,черняховскии,москва,русскии,путин,станислав,алексеевич,петрович,ленинскии,кавказ,калининград,столичныи,станиславскии,горшков,харьков,ленинградскии.
Кластер;9
Top50;столичныи,торжество,проведение,праздник,волгоград,торжественныи,облздрава,событие,москвич,мэрия,коммунар,коммуналка,мероприятие,облпрокуратура,москвичка,окрестность,гордеев,новгород,анонсировать,загранпаспорт,фестивальныи,коммуна,когдато,новосибирск,святослав,повод,заведомо,фестиваль,проводиться,нацпроект,владимир,общественник,сегодняшнии,муниципалитет,набирать,хоперскии,новохоперск,плакат,любительскии,пообщаться,владимирскии,публиковаться,земляк,чтонибыть,град,площадь,дневныи,нижегородскии,задеиствовать,облздравыи.
Кластер;10
Top50;начисление,бюджетныи,общероссиискии,московскии,подмосковье,россиискии,хабаровскии,денежныи,россия,подмосковныи,россиянка,заработать,тратить,экономическии,россошанскии,владимирскии,затрата,накопительныи,хабаровск,гонорар,расплачиваться,зависеть,недорогои,всероссиискии,экономия,русыи,приход,россиянин,доплата,столичныи,доллар,оплатить,государственныи,бюджет,калачеевскии,погашение,калининградскии,выплачиваться,загранпаспорт,комиссаржевскии,кавказ,харьковскии,потратить,выплатить,ленинскии,выплата,сумма,советскии,выплачивать,москва.
